date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:01	42883/42883	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2009:36:03%20GMT	https://www.tutorialspoint.com/java/java_basic_operators.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_basic_operators.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:01	29136/29136	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2008:38:06%20GMT	https://www.tutorialspoint.com/java/java_loop_control.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_loop_control.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:02	27724/27724	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2008:51:27%20GMT	https://www.tutorialspoint.com/java/java_decision_making.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_decision_making.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:02	31445/31445	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2008:32:24%20GMT	https://www.tutorialspoint.com/java/java_numbers.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_numbers.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:02	30223/30223	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2016:25:11%20GMT	https://www.tutorialspoint.com/java/java_characters.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_characters.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:03	39779/39779	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2000:36:54%20GMT	https://www.tutorialspoint.com/java/java_strings.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_strings.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:03	33061/33061	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Jun%202021%2008:48:32%20GMT	https://www.tutorialspoint.com/java/java_arrays.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_arrays.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:03	49797/49797	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2010:19:08%20GMT	https://www.tutorialspoint.com/java/java_date_time.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_date_time.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:03	42389/42389	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2016:53:22%20GMT	https://www.tutorialspoint.com/java/java_regular_expressions.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_regular_expressions.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:04	40933/40933	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2012:46:27%20GMT	https://www.tutorialspoint.com/java/java_methods.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_methods.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:04	40616/40616	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2016:49:13%20GMT	https://www.tutorialspoint.com/java/java_files_io.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_files_io.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:04	45738/45738	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2008:34:34%20GMT	https://www.tutorialspoint.com/java/java_exceptions.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_exceptions.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:05	35962/35962	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2019:34:29%20GMT	https://www.tutorialspoint.com/java/java_innerclasses.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_innerclasses.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:05	38354/38354	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2010:55:25%20GMT	https://www.tutorialspoint.com/java/java_inheritance.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_inheritance.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:05	30606/30606	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2008:32:25%20GMT	https://www.tutorialspoint.com/java/java_overriding.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_overriding.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:05	30907/30907	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2010:55:44%20GMT	https://www.tutorialspoint.com/java/java_polymorphism.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_polymorphism.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:06	32509/32509	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2015:03:24%20GMT	https://www.tutorialspoint.com/java/java_abstraction.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_abstraction.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:06	27353/27353	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2011:30:03%20GMT	https://www.tutorialspoint.com/java/java_encapsulation.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_encapsulation.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:06	32841/32841	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2010:59:35%20GMT	https://www.tutorialspoint.com/java/java_interfaces.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_interfaces.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:07	34890/34890	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2005:14:37%20GMT	https://www.tutorialspoint.com/java/java_packages.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_packages.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:07	28903/28903	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2020:33:50%20GMT	https://www.tutorialspoint.com/java/java_data_structures.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_data_structures.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:07	31686/31686	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2010:13:09%20GMT	https://www.tutorialspoint.com/java/java_generics.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_generics.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:08	30897/30897	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2011:57:17%20GMT	https://www.tutorialspoint.com/java/java_serialization.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_serialization.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:08	41551/41551	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2021:03:09%20GMT	https://www.tutorialspoint.com/java/java_networking.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_networking.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:08	33737/33737	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2015:18:54%20GMT	https://www.tutorialspoint.com/java/java_sending_email.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_sending_email.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:08	40204/40204	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:45:22%20GMT	https://www.tutorialspoint.com/java/java_multithreading.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_multithreading.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
